Experiment,Total Reads,Aligned Reads % (Transcriptome)
On_Chip_Stimulation_LPS_4h_S10_rsem,1528837,31.59
On_Chip_Stimulation_LPS_4h_S11_rsem,1519096,36.06
On_Chip_Stimulation_LPS_4h_S13_rsem,2866167,43.32
On_Chip_Stimulation_LPS_4h_S16_rsem,2096589,33.16
On_Chip_Stimulation_LPS_4h_S17_rsem,1427777,25.52
On_Chip_Stimulation_LPS_4h_S18_rsem,1266369,18.37
On_Chip_Stimulation_LPS_4h_S23_rsem,3610922,42.82
On_Chip_Stimulation_LPS_4h_S24_rsem,3987342,40.17
On_Chip_Stimulation_LPS_4h_S25_rsem,1141461,22.33
On_Chip_Stimulation_LPS_4h_S2_rsem,2685840,38.23
On_Chip_Stimulation_LPS_4h_S30_rsem,1056326,19.46
On_Chip_Stimulation_LPS_4h_S35_rsem,1959652,24.87
On_Chip_Stimulation_LPS_4h_S45_rsem,1442521,21.73
On_Chip_Stimulation_LPS_4h_S49_rsem,2291085,41.23
On_Chip_Stimulation_LPS_4h_S4_rsem,2999428,21.42
On_Chip_Stimulation_LPS_4h_S50_rsem,1328530,23.26
On_Chip_Stimulation_LPS_4h_S51_rsem,2283245,20.16
On_Chip_Stimulation_LPS_4h_S52_rsem,1233309,20.56
On_Chip_Stimulation_LPS_4h_S53_rsem,2902815,15.33
On_Chip_Stimulation_LPS_4h_S54_rsem,1063171,18.51
On_Chip_Stimulation_LPS_4h_S55_rsem,1402298,19.53
On_Chip_Stimulation_LPS_4h_S57_rsem,1528330,30.51
On_Chip_Stimulation_LPS_4h_S58_rsem,1468483,22.43
On_Chip_Stimulation_LPS_4h_S61_rsem,1250301,22.63
On_Chip_Stimulation_LPS_4h_S63_rsem,2529613,23.91
On_Chip_Stimulation_LPS_4h_S65_rsem,1892063,29.04
On_Chip_Stimulation_LPS_4h_S66_rsem,2974980,30.97
On_Chip_Stimulation_LPS_4h_S67_rsem,2945142,34.42
On_Chip_Stimulation_LPS_4h_S68_rsem,1713312,21.92
On_Chip_Stimulation_LPS_4h_S6_rsem,1575858,15.42
On_Chip_Stimulation_LPS_4h_S71_rsem,1439778,18.63
On_Chip_Stimulation_LPS_4h_S73_rsem,3115627,34.61
On_Chip_Stimulation_LPS_4h_S74_rsem,4030813,50.41
On_Chip_Stimulation_LPS_4h_S75_rsem,1291672,16.68
On_Chip_Stimulation_LPS_4h_S78_rsem,1931214,20.34
On_Chip_Stimulation_LPS_4h_S80_rsem,1591927,17.73
On_Chip_Stimulation_LPS_4h_S84_rsem,1673478,31.61
On_Chip_Stimulation_LPS_4h_S86_rsem,1102174,17.19
On_Chip_Stimulation_LPS_4h_S89_rsem,1596541,33.31
On_Chip_Stimulation_LPS_4h_S93_rsem,5480431,36.24
On_Chip_Stimulation_LPS_4h_S9_rsem,1754040,17.5
Ifnar1_KO_LPS_4h_S15_rsem,1676507,50.9
Ifnar1_KO_LPS_4h_S18_rsem,4348074,54.42
Ifnar1_KO_LPS_4h_S1_rsem,3074863,42.53
Ifnar1_KO_LPS_4h_S20_rsem,1987449,60.93
Ifnar1_KO_LPS_4h_S21_rsem,1715306,53.07
Ifnar1_KO_LPS_4h_S22_rsem,1029771,46.8
Ifnar1_KO_LPS_4h_S25_rsem,4210844,48.68
Ifnar1_KO_LPS_4h_S32_rsem,1889319,47.61
Ifnar1_KO_LPS_4h_S33_rsem,1972930,43.96
Ifnar1_KO_LPS_4h_S36_rsem,2284313,39.11
Ifnar1_KO_LPS_4h_S37_rsem,2334953,49.47
Ifnar1_KO_LPS_4h_S38_rsem,2326669,59.54
Ifnar1_KO_LPS_4h_S39_rsem,1749895,52.93
Ifnar1_KO_LPS_4h_S3_rsem,2888800,43.86
Ifnar1_KO_LPS_4h_S42_rsem,1727154,44.2
Ifnar1_KO_LPS_4h_S43_rsem,2708102,52.65
Ifnar1_KO_LPS_4h_S44_rsem,2006198,46.06
Ifnar1_KO_LPS_4h_S45_rsem,1668476,48.69
Ifnar1_KO_LPS_4h_S46_rsem,1664338,51.19
Ifnar1_KO_LPS_4h_S47_rsem,1275116,43.7
Ifnar1_KO_LPS_4h_S49_rsem,1114056,41.71
Ifnar1_KO_LPS_4h_S4_rsem,2973758,54.54
Ifnar1_KO_LPS_4h_S50_rsem,7104920,45.75
Ifnar1_KO_LPS_4h_S51_rsem,2973900,36.69
Ifnar1_KO_LPS_4h_S52_rsem,4012561,44.44
Ifnar1_KO_LPS_4h_S53_rsem,5469671,48.2
Ifnar1_KO_LPS_4h_S55_rsem,4053053,64.29
Ifnar1_KO_LPS_4h_S56_rsem,4922401,46.19
Ifnar1_KO_LPS_4h_S60_rsem,2212016,41.09
Ifnar1_KO_LPS_4h_S61_rsem,2576465,41.6
Ifnar1_KO_LPS_4h_S62_rsem,1981511,44.96
Ifnar1_KO_LPS_4h_S64_rsem,3355195,49.21
Ifnar1_KO_LPS_4h_S65_rsem,4022113,44.32
Ifnar1_KO_LPS_4h_S66_rsem,1805648,50.64
Ifnar1_KO_LPS_4h_S67_rsem,1306646,42.55
Ifnar1_KO_LPS_4h_S68_rsem,3419136,42.82
Ifnar1_KO_LPS_4h_S69_rsem,1288409,38.99
Ifnar1_KO_LPS_4h_S70_rsem,3413606,51.96
Ifnar1_KO_LPS_4h_S71_rsem,1036507,46.43
Ifnar1_KO_LPS_4h_S72_rsem,2466955,44.18
Ifnar1_KO_LPS_4h_S73_rsem,4342473,50.02
Ifnar1_KO_LPS_4h_S74_rsem,1410386,36.49
Ifnar1_KO_LPS_4h_S75_rsem,4562446,48.02
Ifnar1_KO_LPS_4h_S76_rsem,1523518,43.04
Ifnar1_KO_LPS_4h_S78_rsem,1240012,47.65
Ifnar1_KO_LPS_4h_S80_rsem,2879991,51.22
Ifnar1_KO_LPS_4h_S81_rsem,4247942,53.22
